group_name;product_id;product_name
1 Цветы срезанные;fca16e57-4943-11e8-9107-504800146e72;rosa top gear
1 Цветы срезанные;8f23c09a-6578-11e8-9ff4-34e80003fe85;rose Prince Jardinier
1 Цветы срезанные;5bee18c1-d772-11f0-0a80-0e160012bbfc;Alchemilla/ Алхемилла
1 Цветы срезанные;7fb8b0e9-d2b9-11f0-0a80-19ed001e02b9;Hasmantium/Хасмантиум
1 Цветы срезанные;66eb2113-38de-11ee-0a80-06a80016b13d;Циния / Zínnia
1 Цветы срезанные;a24a44f0-3f46-11ee-0a80-028b0020eb8f;Хелихризум / Helichrysum
1 Цветы срезанные;4075b7bd-3520-11ee-0a80-0dca0036142d;Роза Россия Талея
1 Цветы срезанные;ce996083-351e-11ee-0a80-0dca0035c5a0;Роза кустовая Пиони Баблс желтая / Rose Pioni Bubbles
1 Цветы срезанные;6b6daac1-7dc5-11f0-0a80-1736002456c2;Dahlia Yellow / Георгин Желтый
1 Цветы срезанные;dd1cb029-9a1a-11f0-0a80-1a0b00120fe7;Chrysanthemum gr Bigoudi White/ Хризантема одноголовая Бигуди Белая
1 Цветы срезанные;c80af414-cd1a-11f0-0a80-01540030a5d0;Chrysanthemum tr Baltika / Хризантема кустовая Балтика
1 Цветы срезанные/Ветки и ягоды;2ea3a890-5481-11ee-0a80-0f42001ad6ec;Кровянка
1 Цветы срезанные/Ветки и ягоды;164d5502-88ce-11e7-7a31-d0fd000a6cba;Symphoricarpos / Снежник (Снежноягодник)
1 Цветы срезанные/Ветки и ягоды;a3a233c3-4784-11f0-0a80-0620001e3ada;ветки алычи
1 Цветы срезанные/Ветки и ягоды;c974e52d-586d-11ee-0a80-113f000e2bf2;Ветки с рижки
1 Цветы срезанные/Ветки и ягоды;1e870f57-4fad-11e9-912f-f3d40004e4bb;Genista / Гениста
1 Цветы срезанные/Ветки и ягоды;2bee51ec-0500-11e8-6b01-4b1d001d1fad;Forsythia / Форзиция
1 Цветы срезанные/Ветки и ягоды;ead8fc97-f4d0-11e9-0a80-030d002c4b95;Celastrus / Целаструс
1 Цветы срезанные/Ветки и ягоды;11d5cf77-d1e1-11e8-9109-f8fc000fcc7e;Malus / Яблоня
1 Цветы срезанные/Ветки и ягоды;7fe98646-1a9c-11f0-0a80-0dbb0007cb73;Ветки яблони Россия (Высота L80) пучок
1 Цветы срезанные/Ветки и ягоды;5b91effd-d384-11ed-0a80-0c4500065122;Prunus cerasus / Прунус вишня
1 Цветы срезанные/Ветки и ягоды;cb0d0781-0fab-11f0-0a80-1103000ba1c6;Ветки сливы (пучок)
1 Цветы срезанные/Ветки и ягоды;6bdddc1c-5800-11e7-7a69-93a700186858;Rubus Chester / Малина Честер
1 Цветы срезанные/Ветки и ягоды;6be3a20d-5800-11e7-7a69-93a700186871;Spiraea Cinerea Grefsheim / Спирея Цинерея Грефшейм
1 Цветы срезанные/Ветки и ягоды;a63a93a8-3026-11e8-9109-f8fc0009a74e;Prunus / Прунус
1 Цветы срезанные/Ветки и ягоды;e69e72f2-8f01-11eb-0a80-07ce0017bc10;Branches Magnolia / Ветки Магнолии
1 Цветы срезанные/Ветки и ягоды;6be4a09c-5800-11e7-7a69-93a700186875;Spiraea Nipp Snowmound / Спирея Нипп Сноумаунд
1 Цветы срезанные/Ветки и ягоды;1525efb6-c2e0-11e7-6b01-4b1d0013bf51;Mimosa / Мимоза
1 Цветы срезанные/Ветки и ягоды;1eb12ece-5802-11e7-7a69-93a70018f6c4;Chamelaucium  / Хамелациум
1 Цветы срезанные/Ветки и ягоды;9952b9d9-df3e-11e8-9ff4-34e8000cbb9e;Sambucus / Бузина (Ягоды черные)
1 Цветы срезанные/Ветки и ягоды;abe62d2c-9e1c-11ed-0a80-0c560008fafa;Chaenomelis japonica / Ветки ханомелиса
1 Цветы срезанные/Ветки и ягоды;68afcd2b-ec2e-11ee-0a80-0e61001083c2;Exochorda / Экзохорда
1 Цветы срезанные/Ветки и ягоды;cbf8e843-b703-11ef-0a80-0da4001246a8;ветки березы
1 Цветы срезанные/Ветки и ягоды;5f3bc0e4-0976-11f0-0a80-0c3c000fcde3;Ветки айвы
1 Цветы срезанные/Ветки и ягоды;221b4f53-dbee-11f0-0a80-07f6001d8269;омела
1 Цветы срезанные/Ветки и ягоды;859d5854-68ff-11ee-0a80-02590011878c;Рицинус
1 Цветы срезанные/Еловые;2e6dc64e-36cf-11eb-0a80-05f0001408fa;Ель с шишками
1 Цветы срезанные/Еловые;5cb9d96d-e3de-11f0-0a80-17c70024bcd5;туя ( крашеная)
1 Цветы срезанные/Еловые;148fd1db-d82d-11e8-9ff4-34e8000329a6;Juniperus / Можжевельник (Кониферн)
1 Цветы срезанные/Еловые;b583d5ed-60dd-11ed-0a80-0edb000cc0fc;Cedrus / Кедр
1 Цветы срезанные/Еловые;c9f08c96-2e5d-11eb-0a80-0461000ef78e;Merezhka / Мережка
1 Цветы срезанные/Еловые;cfa91dd1-e716-11e8-9109-f8fc0002b1cd;Chamaecyparis / Кипарисовик
1 Цветы срезанные/Еловые;2f45a311-d902-11e7-7a6c-d2a9002a52bd;Pinus / Сосна (Пинус)
1 Цветы срезанные/Еловые;dd7ea718-5405-11ec-0a80-0d6300053db6;Еловые с риги
1 Цветы срезанные/Еловые;7d6e71ca-2e5e-11eb-0a80-093c000f5366;Juniperus / Можжевельник с ягодами
1 Цветы срезанные/Еловые;70d399fa-cf65-11e7-7a6c-d2a900058164;Nobilis / Пихта (Нобилис)
1 Цветы срезанные/Еловые;71f971bd-d901-11e7-7a34-5acf002f7d5d;Cupressus / Кипарис с шишками
1 Цветы срезанные/Еловые;5ce42fb6-2e5e-11eb-0a80-051f000f21d9;Cupressus / Кипарис
1 Цветы срезанные/Еловые;46795404-e17b-11e7-6b01-4b1d000647d1;Thuja / Туя
1 Цветы срезанные/Зелень;4bc22f1d-5803-11e7-7a69-93a7001940a2;Eucalyptus Populifolia / Эвкалипт Популифолия
1 Цветы срезанные/Зелень;b603d1fd-c876-11e8-9109-f8fc001adb5b;Quercus stable / Дуб стабилизированный
1 Цветы срезанные/Зелень;a3270366-963d-11e8-9107-5048001a238a;Olea / Олива
1 Цветы срезанные/Зелень;4bc0bd3f-5803-11e7-7a69-93a70019409a;Eucalyptus Nicholii / Эвкалипт Николи
1 Цветы срезанные/Зелень;4bd83eab-5803-11e7-7a69-93a7001940bf;Pistacia / Фисташка (Писташ)
1 Цветы срезанные/Зелень;153efdef-9e2c-11e9-9ff4-34e80002145d;Pieris Purity / Пиерис Пьюрити
